角色ID,名字,泛用性評估,功能定位與戰術價值,培養建議
845,冨岡義勇CC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <無屬性、紅色敵人> 發揮壓制效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。 擅長以 <多種控場能力> 控制 <無屬性、紅色敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
846,胡蝶しのぶCC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
847,煉獄杏寿郎CC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <攻擊力下降> 控制 <黑色敵人、異星敵人> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
851,蛇神・風魔小太郎,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
860,晦月の騎士ダークルーノス,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
449,無双の剣神・宮本武蔵,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
450,神聖会長ジャンヌダルクψ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、漂浮敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
451,天魔城龍バベル,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、漂浮敵人> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
452,巨大神兵ベンケイ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <天使> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
456,キューティー・モモコ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
462,レジェランパサラン,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
464,極秘研究機関パンドラ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <不死生物> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
467,闇次神子ブラックゼウス,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <無屬性> 發揮壓制效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 擅長以 <攻擊力下降> 控制 <無屬性> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
479,夢幻の精霊ルミナリア,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <異星敵人> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
482,時空科学者アビス博士,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
494,ゴッドガイア,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <多種屬性敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
511,豪鬼CC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <無屬性> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
545,京坂七穂・真,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <鋼鐵敵人、不死生物> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
587,ネコ国王,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,綜合評價極低，幾乎沒有對策性，不推薦抽取及培養。
732,暁光のイザナギ,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
739,宵闇のイザナミ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
816,落月のシ者カヲル,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <無屬性> 發揮壓制效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 擅長以 <打飛敵人> 控制 <無屬性> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
